id,event,cycle,a,b,value,latency
0,parser_send,1,0,0,0,0
1,parser_send,2,0,0,0,0
0,transform_accept,2,0,0,0,0
2,parser_send,3,0,0,0,0
1,transform_accept,3,0,0,0,0
3,parser_send,4,0,0,0,0
0,link,4,1836311903,1134903170,1,0
0,transform_emit,4,1836311903,1134903170,0,0
2,transform_accept,4,0,0,0,0
0,random_choice,4,1,1,0,0
0,compute_unit,4,1,0,0,0
0,compute_accept,4,1836311903,1134903170,1,74
4,parser_send,5,0,0,0,0
1,link,5,1,1,1,0
1,transform_emit,5,1,1,0,0
3,transform_accept,5,0,0,0,0
1,compute_unit,5,0,0,0,0
1,compute_accept,5,1,1,1,1
5,parser_send,6,0,0,0,0
2,link,6,2,2,0,0
2,window_blocked,6,0,0,0,0
1,compute_complete,6,0,0,1,0
1,compute_emit,6,0,0,1,0
2,link,7,2,2,0,0
2,window_blocked,7,0,0,0,0
1,window_store,7,0,0,1,0
2,link,8,2,2,0,0
2,window_blocked,8,0,0,0,0
0,reorder_wait,8,0,0,0,0
2,link,9,2,2,0,0
2,window_blocked,9,0,0,0,0
0,reorder_wait,9,0,0,0,0
2,link,10,2,2,0,0
2,window_blocked,10,0,0,0,0
0,reorder_wait,10,0,0,0,0
2,link,11,2,2,0,0
2,window_blocked,11,0,0,0,0
0,reorder_wait,11,0,0,0,0
2,link,12,2,2,0,0
2,window_blocked,12,0,0,0,0
0,reorder_wait,12,0,0,0,0
2,link,13,2,2,0,0
2,window_blocked,13,0,0,0,0
0,reorder_wait,13,0,0,0,0
2,link,14,2,2,0,0
2,window_blocked,14,0,0,0,0
0,reorder_wait,14,0,0,0,0
2,link,15,2,2,0,0
2,window_blocked,15,0,0,0,0
0,reorder_wait,15,0,0,0,0
2,link,16,2,2,0,0
2,window_blocked,16,0,0,0,0
0,reorder_wait,16,0,0,0,0
2,link,17,2,2,0,0
2,window_blocked,17,0,0,0,0
0,reorder_wait,17,0,0,0,0
2,link,18,2,2,0,0
2,window_blocked,18,0,0,0,0
0,reorder_wait,18,0,0,0,0
2,link,19,2,2,0,0
2,window_blocked,19,0,0,0,0
0,reorder_wait,19,0,0,0,0
2,link,20,2,2,0,0
2,window_blocked,20,0,0,0,0
0,reorder_wait,20,0,0,0,0
2,link,21,2,2,0,0
2,window_blocked,21,0,0,0,0
0,reorder_wait,21,0,0,0,0
2,link,22,2,2,0,0
2,window_blocked,22,0,0,0,0
0,reorder_wait,22,0,0,0,0
2,link,23,2,2,0,0
2,window_blocked,23,0,0,0,0
0,reorder_wait,23,0,0,0,0
2,link,24,2,2,0,0
2,window_blocked,24,0,0,0,0
0,reorder_wait,24,0,0,0,0
2,link,25,2,2,0,0
2,window_blocked,25,0,0,0,0
0,reorder_wait,25,0,0,0,0
2,link,26,2,2,0,0
2,window_blocked,26,0,0,0,0
0,reorder_wait,26,0,0,0,0
2,link,27,2,2,0,0
2,window_blocked,27,0,0,0,0
0,reorder_wait,27,0,0,0,0
2,link,28,2,2,0,0
2,window_blocked,28,0,0,0,0
0,reorder_wait,28,0,0,0,0
2,link,29,2,2,0,0
2,window_blocked,29,0,0,0,0
0,reorder_wait,29,0,0,0,0
2,link,30,2,2,0,0
2,window_blocked,30,0,0,0,0
0,reorder_wait,30,0,0,0,0
2,link,31,2,2,0,0
2,window_blocked,31,0,0,0,0
0,reorder_wait,31,0,0,0,0
2,link,32,2,2,0,0
2,window_blocked,32,0,0,0,0
0,reorder_wait,32,0,0,0,0
2,link,33,2,2,0,0
2,window_blocked,33,0,0,0,0
0,reorder_wait,33,0,0,0,0
2,link,34,2,2,0,0
2,window_blocked,34,0,0,0,0
0,reorder_wait,34,0,0,0,0
2,link,35,2,2,0,0
2,window_blocked,35,0,0,0,0
0,reorder_wait,35,0,0,0,0
2,link,36,2,2,0,0
2,window_blocked,36,0,0,0,0
0,reorder_wait,36,0,0,0,0
2,link,37,2,2,0,0
2,window_blocked,37,0,0,0,0
0,reorder_wait,37,0,0,0,0
2,link,38,2,2,0,0
2,window_blocked,38,0,0,0,0
0,reorder_wait,38,0,0,0,0
2,link,39,2,2,0,0
2,window_blocked,39,0,0,0,0
0,reorder_wait,39,0,0,0,0
2,link,40,2,2,0,0
2,window_blocked,40,0,0,0,0
0,reorder_wait,40,0,0,0,0
2,link,41,2,2,0,0
2,window_blocked,41,0,0,0,0
0,reorder_wait,41,0,0,0,0
2,link,42,2,2,0,0
2,window_blocked,42,0,0,0,0
0,reorder_wait,42,0,0,0,0
2,link,43,2,2,0,0
2,window_blocked,43,0,0,0,0
0,reorder_wait,43,0,0,0,0
2,link,44,2,2,0,0
2,window_blocked,44,0,0,0,0
0,reorder_wait,44,0,0,0,0
2,link,45,2,2,0,0
2,window_blocked,45,0,0,0,0
