metric,value
cycles,161
tasks,41
simulated_time_ns,161
throughput_tasks_per_cycle,0.254658385093
compute_busy_cycles,114
compute_utilization,0.354037267081
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.62111801242
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.124223602484
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.130434782609
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.254658385093
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.90062111801
transform_registers_peak,2
handshake_valid_cycles,154
handshake_blocked_cycles,113
handshake_blocked_fraction,0.733766233766
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1280
window_blocked_cycles,113
engines_blocked_cycles,0
random_choices,21
random_seed,1
reorder_wait_cycles,72
collector_output_blocked_cycles,0
compute0_busy_cycles,20
compute0_utilization,0.124223602484
compute0_tasks,20
compute0_result_wait_cycles,0
compute1_busy_cycles,94
compute1_utilization,0.583850931677
compute1_tasks,21
compute1_result_wait_cycles,0
window_capacity,2
window_results_peak,2
window_results_average,0.708074534161
window_reserved_peak,2
window_reserved_average,1.67080745342
window_valid_bits,2
task_latency_count,41
task_latency_precompute_sum_cycles,567
task_latency_precompute_mean_cycles,13.8292682927
task_latency_precompute_max_cycles,80
task_latency_precompute_p95_cycles,78
task_latency_compute_sum_cycles,114
task_latency_compute_mean_cycles,2.78048780488
task_latency_compute_max_cycles,74
task_latency_compute_p95_cycles,1
task_latency_result_wait_sum_cycles,0
task_latency_result_wait_mean_cycles,0
task_latency_result_wait_max_cycles,0
task_latency_result_wait_p95_cycles,0
task_latency_delivery_sum_cycles,196
task_latency_delivery_mean_cycles,4.78048780488
task_latency_delivery_max_cycles,76
task_latency_delivery_p95_cycles,3
task_latency_end_to_end_sum_cycles,877
task_latency_end_to_end_mean_cycles,21.3902439024
task_latency_end_to_end_max_cycles,84
task_latency_end_to_end_p95_cycles,82
window_blocked_with_ready_cycles,112
compute0_idle_no_input_cycles,121
compute1_idle_no_input_cycles,46
